,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
31,8/23/2018 3:58:50,feminino,21,brazil,ceara,caucaia,"graduacao - bacharelado, em andamento",biotecnologista,"sim, instituicao publica",universidade federal do cear,estudante,biotecnologia,01 - 05,engenharia de bioprocessos/processos bioquimicos,sim,nao sei responder,nao,parcialmente satisfatorio,certos tipos de equipamento nao estao disponiveis,financiamento insuficiente para obtencao de alguns equipamentos necessarios,"incubadoras, phmetro, bloco digestor de dqo, espectrofotometro, centrifugas, destilador, cromatografo gasoso",a logistica da pesquisa teve de ser alterada,hplc,"apesar de dificuldades com equipamentos, nao foi necessario alterar nenhum projeto porque contamos com equipamentos de colaboradores",coluna para hplc/espectrometro de massas,sim,nao,,
32,8/23/2018 4:02:02,masculino,41,brazil,rio de janeiro,nova friburgo,graduacao - licenciatura,,"sim, instituicao publica",uerj-universidade do estado do rio de janeiro,estudante,biologia,01 - 05,,sim,nao sei responder,desconheco,insatisfatorio,certos tipos de equipamento nao estao disponiveis,muitos equipamentos nao estao no acesso de muitos pesquisadores e alunos,microscopios eletronicos,nao tenho conhecimento,,,nao sei responder,talvez,nao,,
33,8/23/2018 4:08:34,masculino,24,brazil,bahia,salvador,especializacao,licenciado em quimica,"sim, instituicao publica",universidade do estado da bahia (uneb),pesquisador,quimica,01 - 05,quimica analitica,nao,nao,,parcialmente satisfatorio,demora na manutencao/conserto do equipamento existente,,cromatografia liquida de alta eficiencia,sim,falta de colunas cromatograficas,equipamento indisponivel (outras razoes alem de quebra),detector de espectrometria de massas,sim,nao,,
34,8/23/2018 4:37:36,prefiro nao responder,26,brazil,rs,porto alegre,"mestrado, em andamento",pesquisadora,"sim, instituicao publica",ufrgs,pesquisador,engenharia,01 - 05,economia circular,nao,sim,nao..,parcialmente satisfatorio,"falta de informacao a respeito da divulgacao dos equipamentos disponiveis e seus respectivos lugares, horarios de funcionamento..",,"computador, internet, impressora, acesso a artigos cientificos, celular",sim,falta de computador,"equipamento indisponivel (outras razoes alem de quebra), apesar de dificuldades com equipamentos, nao foi necessario alterar nenhum projeto porque contamos com equipamentos de colaboradores","celular top de linha, impressora e telescopio",sim,sim,buscava um preco mais acessivel,sim
35,8/23/2018 4:45:48,masculino,20,brazil,parana,dois vizinhos,graduacao - bacharelado,estudante,"sim, instituicao publica",utfpr,estudante,engenharia bioquimica,01 - 05,bioquimica,sim,sim,nao,insatisfatorio,demora na manutencao/conserto do equipamento existente,,"espectrofotometro, balanca analitica, dbo, shaker, autoclave, fermentador",sim,hplc,"por quebra do equipamento existente e demora na manutencao, equipamento indisponivel (outras razoes alem de quebra)","hplc, espectrofotometro de absorcao atomica",sim,sim,por ser a unica marca disponivel no momento,sim
36,8/23/2018 11:31:33,feminino,53,,rio de janeiro,nova iguacu,graduacao - licenciatura,biologo,nao,,professor,biologia,01 - 05,patologia clinica,nao sei responder,nao sei responder,,satisfatorio,demora na manutencao/conserto do equipamento existente,,,nao tenho conhecimento,,por quebra do equipamento existente e demora na manutencao,,talvez,nao,,
37,8/23/2018 12:59:04,masculino,33,brazil,parana,realeza,doutorado,ciencias biologicas,"sim, instituicao publica",universidade federal da fronteira sul,"pesquisador, professor",biologia,11 - 15,"neurociencia, cronobiologia, sono",sim,sim,openbci,insatisfatorio,nao ha disponibilidade de equipamento; nao ha recurso para compra,,"amplificadores de sinais biologicos (eletroencefalograma, eletromiograma, eletroculograma)",sim,falha no openbci,por quebra do equipamento existente e demora na manutencao,amplificador (kit) brainproducts 64 canais com sistema sem fio,talvez,nao,,
38,8/23/2018 13:18:28,masculino,32,brazil,para,santarem,doutorado,ciencias biologicas,"sim, instituicao publica",universidade federal do oeste do para,"pesquisador, professor",biologia,11 - 15,zoologia,sim,sim,sim,insatisfatorio,muitos pesquisadores e poucos equipamentos,,"lupa, microscopios, material de analise molecular, gps, camera fotografica",sim,atualmente minha instituicao tem uma quantidade muito abaixo do necessario para fazer pesquisa,"por quebra do equipamento existente e demora na manutencao, equipamento indisponivel (outras razoes alem de quebra)",montar um laboratorio adequado. faltam praticamente todos os equipamentos por aqui,sim,sim,buscava um preco mais acessivel,sim
39,8/23/2018 13:49:12,masculino,36,brazil,sao paulo,sao paulo,doutorado,fisica /biofisica,"sim, instituicao publica",instituto de fisica da usp,"pesquisador, professor",fisica,16 - 20,biofisica,sim,sim,"octave, imagej",insatisfatorio,demora na manutencao/conserto do equipamento existente,,"dls, potencial zeta, saxs, calorimetria, fluorimetro",sim,,por quebra do equipamento existente e demora na manutencao,leitor de placa p fluorescencia,sim,sim,buscava um preco mais acessivel,sim
40,8/23/2018 14:08:42,feminino,52,brazil,sao paulo,campinas,doutorado,medicina,"sim, instituicao privada",faculdade de medicina sao leopoldo mandic campinas,profissional da area operacional,saude,26 - 30,cirurgia de cabeca e pescoco,nao,sim,sim,satisfatorio,nao percebo dificuldades em relacao ao acesso de equipamentos,,,nao tenho conhecimento,,,,,,,
41,8/23/2018 15:26:57,feminino,55,brazil,rio de janeiro,nova friburgo,"graduacao - licenciatura, em andamento",formacao de professores,nao,,,,,,sim,sim,nao,insatisfatorio,falta de equipamentos,,lupa e microscopio,aula mal administrada por falta de equipamentos ou porque esta com defeito.,microscopio,"por quebra do equipamento existente e demora na manutencao, equipamento indisponivel (outras razoes alem de quebra)",todos para um laboratorio de qualidade para graduacao em biologia e quimica fisica...,sim,nao,,
42,8/23/2018 18:03:00,feminino,34,brazil,rio de janeiro,rio de janeiro,doutorado,biologia,"sim, instituicao privada",veiga de almeida,professor,biologia,06 - 10,neurociencia,sim,sim,,parcialmente satisfatorio,muitos pesquisadores e poucos equipamentos,,"criostato, hplc",nao,,nenhuma alteracao no projeto de pesquisa foi necessaria pela falta ou quebra de equipamentos,espectometro de massa,talvez,nao,,
43,8/23/2018 18:53:46,feminino,33,brazil,sao paulo,sao paulo,doutorado,farmacia,nao,,profissional da area administrativa,biologia,06 - 10,biologia celular,nao,sim,sim. flypi,insatisfatorio,muitos pesquisadores e poucos equipamentos,,"pipeta, nanodrop, pcr, western blog, fluxo laminar, incubadora",nao tenho conhecimento,,,citometria de fluxo,talvez,sim,pela necessidade de estabelecer novos protocolos e/ou experimentos no laboratorio,sim
44,8/23/2018 22:04:45,masculino,68,brazil,sergipe,aracaju,doutorado,educacao fisica,"sim, instituicao privada",universidade tiradentes,"pesquisador, professor",saude,46 - 50,fisiologia do exercicio,sim,sim,kinovea,insatisfatorio,certos tipos de equipamento nao estao disponiveis,pouca tradicao de pesquisa na minha area,analisador de gases; isocineticos; dexa,sim,isocinetico,equipamento indisponivel (outras razoes alem de quebra),os ja citados,sim,sim,pela necessidade de estabelecer novos protocolos e/ou experimentos no laboratorio,sim
45,8/23/2018 22:11:50,masculino,23,brazil,sp,sao paulo,"graduacao - bacharelado, graduacao - licenciatura, em andamento",graduando,nao,,estudante,biologia,01 - 05,biologia molecular,nao sei responder,sim,nao,insatisfatorio,nao ha divulgacao de como e quais equipamentos podem ser usados,,termociclador e fluxo laminar,nao tenho conhecimento,,,espectrofotometro,sim,nao,,
46,8/23/2018 23:06:55,feminino,34,brazil,sc,chapeco,doutorado,agronomia,"sim, instituicao publica",,professor,agrarias,06 - 10,producao vegetal,sim,sim,nao,insatisfatorio,"pesquisadores se acham donos de equipamentos, simplesmente por serem auxiliares na organizacao dos laboratorios, criando obstaculos para os demais colegas utilizarem",,camara de crescimento de plantas,sim,"camaras de crescimento de plantas desreguladas, falta de reagentes, falta de padroes de cromatografia,","por quebra do equipamento existente e demora na manutencao, equipamento indisponivel (outras razoes alem de quebra)",camaras de crescimento de plantas,talvez,nao,,
47,8/24/2018 2:30:19,masculino,34,brazil,mato grosso do sul,campo grande,doutorado,fisica,"sim, instituicao publica",ufms,professor,fisica,06 - 10,ciencia dos materiais,nao,nao,nao,insatisfatorio,certos tipos de equipamento nao estao disponiveis,"nao houve acoes para aquisicao de infraestrutura suficiente durante o governo lula, que investiu muito no setor","drx, mev-feg, espectrometros (uv-vis, ftir, raman)",sim,analise termica,por quebra do equipamento existente e demora na manutencao,mev-feg,sim,nao,,
48,8/24/2018 2:57:31,masculino,35,brazil,parana,curitiba,"doutorado, em andamento",farmacia,"sim, instituicao privada",,professor,farmacia,06 - 10,analises clinicas,sim,sim,nao,parcialmente satisfatorio,demora na manutencao/conserto do equipamento existente,,"uplc, espectrometro de massa, bioquimica",sim,espectofotometro, falta de insumos,espectrometro de massa,talvez,nao,,
49,8/24/2018 3:11:02,masculino,33,brazil,sao paulo,barueri,graduacao - bacharelado,ciencia da computacao,nao,,estudante,ciencia da computacao,06 - 10,bioinformatica,sim,nao,nao,prefiro nao opinar no momento,ainda nao utilizo,,nao utilizo ainda,nao tenho conhecimento,,nenhuma alteracao no projeto de pesquisa foi necessaria pela falta ou quebra de equipamentos,nao sei,sim,nao,,
50,8/24/2018 15:58:46,feminino,24,brazil,santa catarina,florianopolis,"doutorado, em andamento",fonoaudiologa,"sim, instituicao publica",ufsc,"estudante, pesquisador",ciencias da saude,01 - 05,fonoaudiologia - linguagem,sim,sim,nao,insatisfatorio,falta de recursos para obtencao dos mesmos,,"softwares para uso em avaliacao e terapia de linguagem, de gravacao e transcricao de audios/videos, equipamentos de armazenamento de dados",sim,falta de equipamentos de gravacao/transcricao de audio/video e de softwares de terapia,"equipamento indisponivel (outras razoes alem de quebra), alteracao no momento de planejamento",softwares de terapia e avaliacao de linguagem,sim,nao,,
51,8/24/2018 19:34:59,feminino,45,brazil,sao paulo,sao paulo,doutorado,engenharia quimica,nao,,profissional da area operacional,engenharia,21 - 25,alimentos,nao,sim,sim,insatisfatorio,falta de conhecimento,,misturadores,sim,viscosimetro,equipamento indisponivel (outras razoes alem de quebra),cromatografo,talvez,nao,,
52,8/25/2018 15:01:05,masculino,29,brazil,rs,porto alegre,mestrado,quimico,"sim, instituicao publica",ufrgs,pesquisador,quimica,06 - 10,fotofisica,nao sei responder,nao sei responder,nao,parcialmente satisfatorio,demora na manutencao/conserto do equipamento existente,,sao varios,sim,"xps, microscopia de alta resolucao, tga",equipamento indisponivel (outras razoes alem de quebra),microscopio,nao,nao,,
